hour,season,drybulb,direct_normal_rad
0,spring,19,0
1,spring,14.9,0
2,spring,15,0
3,spring,14.9,0
4,spring,14.6,0
5,spring,13.7,0
6,spring,14.7,207
7,spring,14.9,263
8,spring,15,475
9,spring,15.6,683
10,spring,16.3,694
11,spring,23,683
12,spring,24.1,594
13,spring,24.2,579
14,spring,24.5,544
15,spring,24.3,388
16,spring,24.4,306
17,spring,21,0
18,spring,19.8,0
19,spring,19.5,0
20,spring,19.7,0
21,spring,19.3,0
22,spring,18.4,0
23,spring,14.8,0
24,spring,14.6,0
25,spring,13.7,0
26,spring,13.5,0
27,spring,13.4,0
28,spring,13.4,0
29,spring,12.5,0
30,spring,15,254
31,spring,16,432
32,spring,17,598
33,spring,18.7,690
34,spring,20.3,624
35,spring,22,580
36,spring,23.7,654
37,spring,25.3,715
38,spring,27,661
39,spring,24.2,457
40,spring,24.2,334
41,spring,20.9,0
42,spring,19.4,0
43,spring,19.3,0
44,spring,19.5,0
45,spring,19.2,0
46,spring,17.8,0
47,spring,15.2,0
48,spring,15,0
49,spring,15.1,0
50,spring,15.2,0
51,spring,15.5,0
52,spring,15.3,0
53,spring,14.3,0
54,spring,15.1,185
55,spring,15.1,311
56,spring,18.9,316
57,spring,15.5,351
58,spring,17,507
59,spring,21.1,519
60,spring,22.2,550
61,spring,22.2,485
62,spring,22.2,334
63,spring,22.3,280
64,spring,27,204
65,spring,19,0
66,spring,17.9,0
67,spring,16.5,0
68,spring,16.4,0
69,spring,16.5,0
70,spring,15.9,0
71,spring,14.5,0
72,spring,14.4,0
73,spring,14.5,0
74,spring,14.1,0
75,spring,14.4,0
76,spring,14.4,0
77,spring,14.1,0
78,spring,14.9,158
79,spring,15.1,447
80,spring,17.6,585
81,spring,19,596
82,spring,20.4,555
83,spring,21.8,631
84,spring,23.2,738
85,spring,24.6,711
86,spring,26,624
87,spring,22.8,530
88,spring,22.7,435
89,spring,20,0
90,spring,19.9,0
91,spring,19.2,0
92,spring,18.4,0
93,spring,19.1,0
94,spring,18.5,0
95,spring,15.6,0
96,spring,15.1,0
97,spring,14.1,0
98,spring,13.7,0
99,spring,13.5,0
100,spring,13.1,0
101,spring,12.1,0
102,spring,13,201
103,spring,12.5,535
104,spring,16.6,740
105,spring,18.5,846
106,spring,20.3,806
107,spring,22.1,711
108,spring,24,508
109,spring,23.5,411
110,spring,23.8,551
111,spring,24.1,548
112,spring,23.8,397
113,spring,21.7,0
114,spring,20.5,0
115,spring,20,0
116,spring,18.4,0
117,spring,18.7,0
118,spring,18.8,0
119,spring,16.6,0
120,spring,16.4,0
121,spring,15.7,0
122,spring,15.1,0
123,spring,15.1,0
124,spring,15,0
125,spring,12.7,0
126,spring,15,158
127,spring,14.5,474
128,spring,19,682
129,spring,20.5,720
130,spring,22.1,693
131,spring,23.6,663
132,spring,25,620
133,spring,26.2,618
134,spring,27.4,543
135,spring,24.4,396
136,spring,23.6,294
137,spring,20.4,0
138,spring,19.2,0
139,spring,19.3,0
140,spring,18.4,0
141,spring,18.7,0
142,spring,18.1,0
143,spring,16.2,0
144,spring,15.9,0
145,spring,15.7,0
146,spring,15.4,0
147,spring,15.2,0
148,spring,15.1,0
149,spring,13.6,0
150,spring,17.2,207
151,spring,18,537
152,spring,18.8,662
153,spring,20.3,618
154,spring,21.8,628
155,spring,23.2,667
156,spring,24.7,561
157,spring,26.2,389
158,spring,27.7,216
159,spring,22.8,93
160,spring,20.9,61
161,spring,17.4,0
162,spring,17.2,0
163,spring,17.1,0
164,spring,17,0
165,spring,17,0
166,spring,16.6,0
167,spring,13.8,0
168,spring,13.7,0
169,spring,13.2,0
170,spring,13.4,0
171,spring,13.3,0
172,spring,13.6,0
173,spring,12.3,0
174,spring,13.9,77
175,spring,14.1,254
176,spring,14.3,329
177,spring,14.9,319
178,spring,15.3,431
179,spring,21.4,495
180,spring,21.6,488
181,spring,22.4,409
182,spring,21.5,367
