hour,season,t_dry,t_dew,rel_hum,ext_hor_rad,ext_dir_rad,glob_hor_rad,dir_norm_rad,dir_hor_rad,wind_dir,wind_speed
0,spring,2.7,1.1,89,0,1415,0,0,0,220,1
1,spring,1.2,0.2,93,0,1415,0,0,0,220,2.6
2,spring,0.2,-0.4,95,0,1415,0,0,0,220,1.5
3,spring,-0.5,-0.8,97,0,1415,0,0,0,240,2.1
4,spring,-0.8,-1.1,98,0,1415,0,0,0,230,3.1
5,spring,-1.1,-1.3,98,0,1415,0,0,0,230,2.6
6,spring,1,-0.9,86,0,1415,0,0,0,140,1
7,spring,0.7,-0.3,93,0,1415,0,0,0,170,1
8,spring,0.6,0,96,57,1415,19,0,19,0,0
9,spring,2.5,1.2,91,206,1415,52,7,51,210,2.6
10,spring,5.7,3.5,86,316,1415,92,17,88,200,2.6
11,spring,7.9,4.7,80,374,1415,115,22,109,210,5.7
12,spring,8.7,5.6,81,377,1415,116,22,110,220,7.2
13,spring,8.9,5.8,81,326,1415,95,17,91,210,7.2
14,spring,8.8,5.7,81,222,1415,57,4,56,200,8.7
15,spring,8.9,5.8,81,75,1415,6,0,6,200,7.7
16,spring,8.7,6.3,85,0,1415,0,0,0,200,9.3
17,spring,8.5,6.6,88,0,1415,0,0,0,200,9.3
18,spring,8.5,7.4,93,0,1415,0,0,0,200,8.7
19,spring,8.3,7.4,94,0,1415,0,0,0,200,9.8
20,spring,8.3,7.7,96,0,1415,0,0,0,200,11.3
21,spring,8.5,8.3,99,0,1415,0,0,0,210,10.3
22,spring,9,8.6,97,0,1415,0,0,0,220,12.3
23,spring,9.6,9.4,99,0,1415,0,0,0,220,9.3
24,spring,10.4,10.2,99,0,1415,0,0,0,230,8.7
25,spring,11.4,10.6,95,0,1415,0,0,0,230,6.7
26,spring,11.6,10.8,95,0,1415,0,0,0,230,8.7
27,spring,11.8,10.8,94,0,1415,0,0,0,220,8.7
28,spring,11.9,10.3,90,0,1415,0,0,0,230,7.2
29,spring,11.5,9.5,88,0,1415,0,0,0,230,7.7
30,spring,11.7,9.3,85,0,1415,0,0,0,230,7.2
31,spring,11.4,9.5,88,0,1415,0,0,0,230,7.2
32,spring,11.2,8.8,85,57,1415,11,0,11,210,7.7
33,spring,11.6,9.2,85,207,1415,20,0,20,210,6.7
34,spring,11.1,9.5,90,317,1415,36,0,36,220,6.7
35,spring,11.1,10.3,95,376,1415,45,0,45,210,7.7
36,spring,12,10.7,92,379,1415,45,0,45,230,9.8
37,spring,12,10.7,92,328,1415,95,24,90,230,9.8
38,spring,12,9.7,86,225,1415,57,3,57,220,8.2
39,spring,11.2,8.7,85,77,1415,15,0,15,230,7.7
40,spring,10.1,8.8,92,0,1415,0,0,0,220,6.7
41,spring,9.6,8.8,95,0,1415,0,0,0,220,5.1
42,spring,9.7,8.2,90,0,1415,0,0,0,260,5.1
43,spring,8.7,6.6,87,0,1415,0,0,0,240,5.7
44,spring,8.3,6.6,89,0,1415,0,0,0,230,4.1
45,spring,7.9,6.1,88,0,1415,0,0,0,220,4.1
46,spring,7.7,6.4,91,0,1415,0,0,0,230,3.6
47,spring,8.4,6.2,86,0,1415,0,0,0,230,5.7
48,spring,7.3,5.5,88,0,1415,0,0,0,230,3.6
49,spring,6.6,4,83,0,1415,0,0,0,230,4.1
50,spring,5.2,2.2,81,0,1415,0,0,0,230,4.6
51,spring,5.7,3,83,0,1415,0,0,0,220,3.1
52,spring,5.6,3.9,89,0,1415,0,0,0,200,2.6
53,spring,5.5,4.3,92,0,1415,0,0,0,200,2.6
54,spring,6.9,4.8,86,0,1415,0,0,0,210,3.6
55,spring,7,4.7,85,0,1415,0,0,0,210,4.1
56,spring,7,4.5,84,58,1415,12,0,12,200,3.1
57,spring,7.1,4.1,81,208,1415,52,6,51,200,3.1
58,spring,7.9,4.4,79,318,1415,93,17,89,210,3.1
59,spring,8.2,4.9,80,377,1415,116,22,110,200,3.1
60,spring,8.3,4.5,77,382,1415,118,23,112,180,3.1
61,spring,8.7,6,83,331,1415,97,18,93,170,5.1
62,spring,8.7,5.8,82,228,1415,59,5,58,180,5.7
63,spring,8.5,6.3,86,80,1415,16,0,16,180,4.6
64,spring,8.6,6.9,89,0,1415,0,0,0,180,5.7
65,spring,8.8,7.1,89,0,1415,0,0,0,200,7.7
66,spring,5.6,3.7,88,0,1415,0,0,0,230,3.6
67,spring,4.9,3.2,89,0,1415,0,0,0,220,4.1
68,spring,4.1,2.7,91,0,1415,0,0,0,200,3.6
69,spring,3.7,2.5,92,0,1415,0,0,0,190,3.6
70,spring,3.9,2.6,91,0,1415,0,0,0,190,2.6
71,spring,4,3,93,0,1415,0,0,0,190,2.6
72,spring,3.3,2,91,0,1415,0,0,0,200,2.6
73,spring,4.4,2.9,90,0,1415,0,0,0,200,3.1
74,spring,4.7,2.2,84,0,1415,0,0,0,200,2.6
75,spring,3.9,2.1,88,0,1415,0,0,0,190,4.1
76,spring,2.4,1,90,0,1415,0,0,0,190,3.1
77,spring,1.8,1,94,0,1415,0,0,0,200,2.6
78,spring,3,1,87,0,1415,0,0,0,210,3.1
79,spring,3.1,-0.2,79,0,1415,0,0,0,200,3.6
80,spring,3.1,0.4,82,59,1415,23,0,23,190,3.1
81,spring,5.3,1.2,75,209,1415,102,178,76,190,4.6
82,spring,6.2,3,80,320,1415,94,52,82,200,6.2
83,spring,5.2,2.5,83,379,1415,117,23,111,240,6.7
84,spring,5.7,3.1,83,384,1415,119,24,113,230,3.6
85,spring,6.4,2.8,78,333,1415,99,19,94,230,5.7
86,spring,6.5,1.9,72,231,1415,115,186,85,230,5.1
87,spring,5.5,1.2,74,84,1415,28,62,25,220,4.6
88,spring,5,0.2,71,0,1415,0,0,0,230,5.1
89,spring,4.2,-1,68,0,1415,0,0,0,210,4.6
90,spring,2.5,-0.6,80,0,1415,0,0,0,220,3.1
91,spring,3,-0.6,77,0,1415,0,0,0,210,4.1
92,spring,3,-0.7,76,0,1415,0,0,0,220,5.1
93,spring,2.7,-0.3,80,0,1415,0,0,0,230,4.1
94,spring,2.4,0,84,0,1415,0,0,0,220,3.1
95,spring,2.6,0.5,86,0,1415,0,0,0,200,3.6
96,spring,3,0.5,84,0,1415,0,0,0,210,2.6
97,spring,4.4,1.4,81,0,1415,0,0,0,210,3.6
98,spring,6.6,3.8,82,0,1415,0,0,0,200,5.7
99,spring,6.8,5.3,90,0,1415,0,0,0,200,6.2
100,spring,7.5,6,90,0,1415,0,0,0,180,7.7
101,spring,8.1,5.7,85,0,1415,0,0,0,180,8.7
102,spring,8,6,87,0,1415,0,0,0,170,10.3
103,spring,8,6.9,93,0,1415,0,0,0,180,10.8
104,spring,8.5,7.2,92,59,1415,5,0,5,200,11.3
105,spring,6.8,3.7,81,211,1415,53,7,52,220,5.7
106,spring,8.5,4.7,77,322,1415,158,284,93,230,6.2
107,spring,8.6,3.4,70,382,1415,167,182,118,230,7.2
108,spring,8.9,2.8,66,387,1415,170,157,127,230,8.2
109,spring,8.1,1.8,64,336,1415,184,343,102,230,7.7
110,spring,8.2,2.2,66,234,1415,87,185,56,230,8.7
111,spring,6.7,2.3,73,87,1415,34,125,26,230,6.7
112,spring,3.7,1.1,83,0,1415,0,0,0,260,8.2
113,spring,3.6,1.3,85,0,1415,0,0,0,270,5.1
114,spring,4.1,-0.5,72,0,1415,0,0,0,240,7.2
115,spring,4.7,-1,66,0,1415,0,0,0,240,7.2
116,spring,4.6,-1,66,0,1415,0,0,0,240,7.7
117,spring,4.6,-2,61,0,1415,0,0,0,240,9.8
118,spring,4.9,-2,60,0,1415,0,0,0,240,9.3
119,spring,4.8,-1.9,61,0,1415,0,0,0,240,10.3
120,spring,4.8,-1.9,61,0,1415,0,0,0,240,9.8
121,spring,4.9,-1.5,62,0,1415,0,0,0,240,9.3
122,spring,5,-1.5,62,0,1415,0,0,0,240,9.8
123,spring,5.2,-2.3,57,0,1415,0,0,0,250,10.3
124,spring,5,-2.5,57,0,1415,0,0,0,250,9.3
125,spring,4.3,-1.8,63,0,1415,0,0,0,250,7.7
126,spring,3.9,-1.3,68,0,1415,0,0,0,240,6.2
127,spring,3.7,-1.5,68,0,1415,0,0,0,240,7.2
128,spring,4,-1.9,64,60,1415,24,0,24,240,6.2
129,spring,5.2,-2,59,212,1415,105,206,74,250,7.2
130,spring,6.2,-1.4,57,324,1415,161,309,90,250,7.2
131,spring,7.4,-0.5,57,384,1415,234,536,88,240,7.2
132,spring,7.8,-0.4,56,389,1415,224,541,74,240,6.2
133,spring,7.8,0.5,60,339,1415,171,340,89,230,5.7
134,spring,7.4,2.4,71,237,1415,24,0,24,210,3.6
135,spring,6.9,4.6,85,91,1415,18,0,18,210,4.6
136,spring,7.4,4.2,80,0,1415,0,0,0,200,6.2
137,spring,7.6,4.8,82,0,1415,0,0,0,200,7.2
138,spring,8.1,5.6,84,0,1415,0,0,0,200,7.2
139,spring,8.1,6.1,87,0,1415,0,0,0,210,6.2
140,spring,8,6.3,89,0,1415,0,0,0,200,5.1
141,spring,7.5,6.2,91,0,1415,0,0,0,190,3.1
142,spring,7.6,6.7,94,0,1415,0,0,0,190,3.1
143,spring,7.7,6.8,94,0,1415,0,0,0,200,3.1
144,spring,7.4,6.2,92,0,1415,0,0,0,200,3.6
145,spring,7.7,6.6,93,0,1415,0,0,0,200,4.1
146,spring,8.3,7,92,0,1415,0,0,0,210,5.7
147,spring,8.3,7,92,0,1415,0,0,0,220,6.2
148,spring,6.7,4.9,88,0,1415,0,0,0,220,5.1
149,spring,6.3,3.7,83,0,1415,0,0,0,220,5.7
150,spring,6,3.6,85,0,1415,0,0,0,230,5.7
151,spring,5.4,3.2,86,0,1415,0,0,0,230,4.6
152,spring,5,0.6,73,61,1415,24,0,24,240,5.1
153,spring,5.7,1.8,76,214,1415,105,181,78,250,4.1
154,spring,6.8,1.6,69,326,1415,188,583,53,240,5.7
155,spring,7.5,1,63,386,1415,236,636,61,240,6.2
